City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Kant,IN,2021-03-24 22:08:38,27.8,79.8,68.79,27,2,8.37
68,Ixtapa,MX,2021-03-24 22:08:38,20.7,-105.2,77.0,53,75,12.66
69,Namatanai,PG,2021-03-24 22:08:39,-3.6667,152.4333,81.52,77,81,5.68
70,Ilulissat,GL,2021-03-24 22:08:39,69.2167,-51.1,-4.0,77,75,14.97
71,Bay Roberts,CA,2021-03-24 22:08:39,47.5999,-53.2648,37.99,71,57,4.0
72,Barrow,US,2021-03-24 22:08:40,71.2906,-156.7887,-5.8,71,1,9.22
73,Mana,GF,2021-03-24 22:08:40,5.6592,-53.7767,77.68,83,33,9.26
74,Vostok,RU,2021-03-24 22:08:40,46.4856,135.8833,18.46,93,68,2.51
75,Srednekolymsk,RU,2021-03-24 22:08:40,67.45,153.6833,-4.76,93,100,2.46
76,Chicama,PE,2021-03-24 22:08:41,-7.8447,-79.1469,71.6,83,75,6.91
77,Aklavik,CA,2021-03-24 22:08:41,68.2191,-135.0107,12.2,52,100,4.61
78,Upernavik,GL,2021-03-24 22:08:41,72.7868,-56.1549,-20.13,93,92,3.89
79,Pevek,RU,2021-03-24 22:08:42,69.7008,170.3133,-15.83,93,100,4.61
80,Henties Bay,NA,2021-03-24 22:08:42,-22.116,14.2845,62.01,94,8,5.99
81,Zonguldak,TR,2021-03-24 22:06:07,41.25,31.8333,29.84,94,100,2.37
82,Foam Lake,CA,2021-03-24 22:08:42,51.65,-103.5343,37.4,56,60,21.85
83,Vao,NC,2021-03-24 22:08:42,-22.6667,167.4833,75.99,68,95,15.7
84,Punta Arenas,CL,2021-03-24 22:08:43,-53.15,-70.9167,46.4,71,40,20.71
85,Saint George,US,2021-03-24 22:08:43,37.1041,-113.5841,60.8,17,1,3.44
86,Areka,ET,2021-03-24 22:08:43,7.0667,37.7,64.44,26,2,5.17
87,Flin Flon,CA,2021-03-24 22:08:43,54.7682,-101.865,19.4,38,90,11.5
88,Bandar-E Lengeh,IR,2021-03-24 22:08:44,26.5579,54.8807,77.0,73,2,13.8
89,Sucre,BO,2021-03-24 22:08:44,-19.0333,-65.2627,64.15,56,78,10.71
90,Kotelnich,RU,2021-03-24 22:08:44,58.3089,48.348,32.81,95,99,8.1
91,Chokurdakh,RU,2021-03-24 22:08:45,70.6333,147.9167,-19.93,98,100,5.84
92,Marsh Harbour,BS,2021-03-24 22:05:25,26.5412,-77.0636,76.5,67,3,0.34
93,Waitati,NZ,2021-03-24 22:08:45,-45.75,170.5667,55.0,92,100,13.0
94,Anloga,GH,2021-03-24 22:08:45,5.7947,0.8973,77.0,83,20,5.75
95,West Plains,US,2021-03-24 22:08:46,36.7281,-91.8524,66.99,37,1,8.05
96,Chuy,UY,2021-03-24 22:08:46,-33.6971,-53.4616,67.91,77,13,7.81
97,Bambous Virieux,MU,2021-03-24 22:08:46,-20.3428,57.7575,77.0,94,20,4.61
98,Kapaa,US,2021-03-24 22:08:46,22.0752,-159.319,80.01,83,90,16.11
99,Foshan,CN,2021-03-24 22:08:47,23.0268,113.1315,68.0,82,75,2.24
100,Muroto,JP,2021-03-24 22:08:47,33.2833,134.15,53.6,94,75,8.05
101,Dongsheng,CN,2021-03-24 22:08:47,39.8161,109.9776,41.36,39,85,8.1
102,Klaksvik,FO,2021-03-24 22:06:12,62.2266,-6.589,39.2,87,40,11.16
103,Castro,BR,2021-03-24 22:08:48,-24.7911,-50.0119,67.86,85,99,3.74
104,Honningsvag,NO,2021-03-24 22:08:48,70.9821,25.9704,32.0,74,0,18.41
105,Padang,ID,2021-03-24 22:08:48,-0.9492,100.3543,77.0,94,90,1.14
106,Dunedin,NZ,2021-03-24 22:08:49,-45.8742,170.5036,55.0,91,100,1.99
107,Tuktoyaktuk,CA,2021-03-24 22:08:49,69.4541,-133.0374,-0.4,71,75,11.5
108,Tukrah,LY,2021-03-24 22:08:49,32.5341,20.5791,54.36,72,100,17.29
109,Georgetown,MY,2021-03-24 22:07:47,5.4112,100.3354,79.0,94,20,3.44
110,Davila,PH,2021-03-24 22:08:49,18.4726,120.5763,75.2,94,20,2.3
111,Mindelo,CV,2021-03-24 22:08:50,16.8901,-24.9804,69.8,64,20,24.16
112,Hilo,US,2021-03-24 22:08:50,19.7297,-155.09,84.2,51,40,19.57
113,Gawler,AU,2021-03-24 22:08:50,-34.6,138.7333,64.0,89,47,5.01
114,Arraial Do Cabo,BR,2021-03-24 22:08:51,-22.9661,-42.0278,80.6,88,0,3.44
115,Buala,SB,2021-03-24 22:08:51,-8.145,159.5921,83.46,70,93,4.7
116,Kruisfontein,ZA,2021-03-24 22:08:52,-34.0033,24.7314,70.0,79,100,3.0
117,Olafsvik,IS,2021-03-24 22:08:52,64.8945,-23.7142,32.11,62,98,16.28
118,Ahuimanu,US,2021-03-24 22:08:53,21.4447,-157.8378,80.6,73,75,5.75
119,Goderich,CA,2021-03-24 22:04:16,43.7501,-81.7165,66.2,48,97,17.27
120,Husavik,IS,2021-03-24 22:08:53,66.0449,-17.3389,35.6,55,40,5.75
121,Codrington,AU,2021-03-24 22:08:53,-38.2667,141.9667,57.81,81,78,10.36
122,Ngerengere,TZ,2021-03-24 22:08:54,-6.75,38.1167,73.4,94,20,2.35
123,Chumikan,RU,2021-03-24 22:08:54,54.7183,135.315,4.05,84,5,9.95
124,Thompson,CA,2021-03-24 22:08:11,55.7435,-97.8558,14.0,44,20,12.66
125,Westport,US,2021-03-24 22:08:55,41.1415,-73.3579,54.0,100,100,7.76
126,Adrar,MR,2021-03-24 22:08:55,20.5022,-10.0711,76.05,10,0,12.1
127,Mercedes,AR,2021-03-24 22:06:43,-34.6515,-59.4307,73.0,83,30,8.01
128,Nehe,CN,2021-03-24 22:08:55,48.4833,124.8333,35.51,63,100,5.66
129,Ust-Maya,RU,2021-03-24 22:08:56,60.4167,134.5333,-18.62,100,100,1.16
130,Kitimat,CA,2021-03-24 22:08:56,54.0524,-128.6534,43.0,87,100,1.99
131,Port Shepstone,ZA,2021-03-24 22:08:56,-30.7414,30.455,69.82,78,100,8.21
132,Puerto Baquerizo Moreno,EC,2021-03-24 22:08:56,-0.9,-89.6,77.0,94,75,2.3
133,Salta,AR,2021-03-24 22:08:57,-24.7859,-65.4117,68.0,83,90,5.75
134,Taoudenni,ML,2021-03-24 22:08:57,22.6783,-3.9836,71.42,11,0,12.46
135,Borovsk,RU,2021-03-24 22:08:57,55.2064,36.4861,32.0,55,0,6.71
136,Lakes Entrance,AU,2021-03-24 22:08:58,-37.8811,147.981,64.99,84,75,3.0
137,Yar-Sale,RU,2021-03-24 22:08:58,66.8333,70.8333,11.23,95,97,10.69
138,Uppsala,SE,2021-03-24 22:08:58,60.0,17.75,43.0,81,100,12.66
139,Victoria,HK,2021-03-24 22:08:42,22.2855,114.1577,71.01,83,0,1.99
140,Yulara,AU,2021-03-24 22:08:59,-25.2406,130.9889,68.0,73,1,8.05
141,Ballina,AU,2021-03-24 22:08:59,-28.8667,153.5667,72.0,73,0,6.91
142,Acari,PE,2021-03-24 22:08:59,-15.4311,-74.6158,77.63,64,36,8.55
143,Lulea,SE,2021-03-24 22:08:59,65.5842,22.1547,39.2,65,3,9.22
144,Kavieng,PG,2021-03-24 22:09:00,-2.5744,150.7967,81.55,76,90,8.25
145,Severobaykalsk,RU,2021-03-24 22:09:00,55.65,109.3167,17.65,93,93,3.22
146,Flinders,AU,2021-03-24 22:09:00,-34.5833,150.8552,73.0,69,67,4.0
147,Cherskiy,RU,2021-03-24 22:09:01,68.75,161.3,-0.96,94,100,3.31
148,Suruc,TR,2021-03-24 22:09:01,36.9761,38.425,41.0,100,75,8.05
149,Bredasdorp,ZA,2021-03-24 22:09:01,-34.5322,20.0403,62.6,94,99,5.75
150,Poum,NC,2021-03-24 22:09:01,-20.2333,164.0167,80.24,74,48,19.13
151,Walvis Bay,NA,2021-03-24 22:09:02,-22.9575,14.5053,62.01,94,31,3.44
152,Anadyr,RU,2021-03-24 22:09:02,64.75,177.4833,6.8,85,40,15.66
153,Neftcala,AZ,2021-03-24 22:09:02,39.3742,49.2472,48.27,82,0,27.09
154,Cidreira,BR,2021-03-24 22:09:03,-30.1811,-50.2056,73.4,73,63,9.08
155,Harboore,DK,2021-03-24 22:09:03,56.6175,8.1807,42.01,95,58,1.01
156,Lompoc,US,2021-03-24 22:09:03,34.6391,-120.4579,66.99,45,1,17.27
157,Comodoro Rivadavia,AR,2021-03-24 22:09:03,-45.8667,-67.5,68.0,28,0,9.22
158,Sena Madureira,BR,2021-03-24 22:09:04,-9.0656,-68.6569,81.52,78,90,1.1
159,Marsa Matruh,EG,2021-03-24 22:09:04,31.3525,27.2453,53.6,71,20,9.22
160,Huarmey,PE,2021-03-24 22:09:04,-10.0681,-78.1522,74.39,73,88,10.38
161,Tiksi,RU,2021-03-24 22:09:05,71.6872,128.8694,-26.73,98,69,4.09
162,Port Hedland,AU,2021-03-24 22:08:28,-20.3167,118.5667,77.0,88,4,6.85
163,Faanui,PF,2021-03-24 22:09:05,-16.4833,-151.75,83.62,73,99,22.1
164,Saint-Leu,RE,2021-03-24 22:09:05,-21.15,55.2833,78.8,78,0,5.75
165,Russell,US,2021-03-24 22:09:06,32.3502,-85.1999,73.4,68,90,5.75
166,Lukovetskiy,RU,2021-03-24 22:09:06,64.2956,41.9211,41.0,65,20,11.18
167,Goldsboro,US,2021-03-24 22:07:09,35.3849,-77.9928,70.0,68,20,8.05
168,Beringovskiy,RU,2021-03-24 22:09:06,63.05,179.3167,14.43,87,98,2.46
169,Baykit,RU,2021-03-24 22:09:07,61.67,96.37,19.72,96,100,2.75
170,Siguiri,GN,2021-03-24 22:09:07,11.6667,-9.5,87.01,13,66,3.53
171,Sao Filipe,CV,2021-03-24 22:09:07,14.8961,-24.4956,72.05,72,5,16.13
172,Metro,ID,2021-03-24 22:09:07,-5.1131,105.3067,73.54,94,100,3.69
173,Maceio,BR,2021-03-24 22:07:15,-9.6658,-35.7353,77.0,88,75,3.44
174,Nouadhibou,MR,2021-03-24 22:09:08,20.931,-17.0347,64.4,94,0,18.41
175,Tasiilaq,GL,2021-03-24 22:09:08,65.6145,-37.6368,6.8,66,75,12.66
176,San Patricio,US,2021-03-24 22:09:08,28.017,-97.5169,84.2,69,75,17.27
177,Pangody,RU,2021-03-24 22:09:09,65.85,74.4859,-3.8,100,90,7.34
178,Yantal,RU,2021-03-24 22:09:09,56.8471,105.2542,15.21,98,100,2.84
179,Burnie,AU,2021-03-24 22:09:09,-41.0667,145.9167,62.01,75,100,8.01
180,The Valley,AI,2021-03-24 22:09:09,18.217,-63.0578,80.6,73,20,10.36
181,Mar Del Plata,AR,2021-03-24 22:09:10,-38.0023,-57.5575,72.0,88,20,8.05
182,Severo-Kurilsk,RU,2021-03-24 22:09:10,50.6789,156.125,26.1,62,78,13.53
183,Naron,ES,2021-03-24 22:09:10,43.5167,-8.1528,50.0,87,20,2.3
184,Hirara,JP,2021-03-24 22:07:17,24.8,125.2833,66.2,77,40,5.75
185,Sumbuya,SL,2021-03-24 22:09:11,7.6467,-11.9611,78.91,76,100,3.94
186,Antalaha,MG,2021-03-24 22:09:11,-14.9003,50.2788,75.13,90,33,3.74
187,Araouane,ML,2021-03-24 22:09:11,18.9048,-3.5265,74.8,7,13,12.8
188,Jeannette,US,2021-03-24 22:09:11,40.3281,-79.6153,71.6,46,75,11.5
189,East London,ZA,2021-03-24 22:08:06,-33.0153,27.9116,68.61,86,100,12.26
190,Mahebourg,MU,2021-03-24 22:09:12,-20.4081,57.7,75.2,94,20,4.61
191,Yerbogachen,RU,2021-03-24 22:09:12,61.2767,108.0108,-7.94,100,100,3.58
192,Swan River,CA,2021-03-24 22:09:12,52.1058,-101.2676,30.2,37,37,16.11
193,Saint-Joseph,RE,2021-03-24 22:09:13,-21.3667,55.6167,78.8,78,0,5.75
194,Cizre,TR,2021-03-24 22:09:13,37.3272,42.1903,49.21,87,100,7.14
195,Wodonga,AU,2021-03-24 22:09:13,-36.1167,146.8833,62.6,94,75,16.11
196,Tacoronte,ES,2021-03-24 22:09:14,28.4769,-16.4102,69.01,55,0,4.61
197,Tiruchchendur,IN,2021-03-24 22:09:14,8.4833,78.1167,82.24,78,100,10.56
198,Birin,NP,2021-03-24 22:09:14,26.8865,88.0718,58.17,27,0,5.88
