City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Kanakapura,IN,12.55,77.4167,75.99,73,79,3.18,['broken clouds']
Bay Roberts,CA,47.5999,-53.2648,44.01,83,100,1.99,['overcast clouds']
Ninh Binh,VN,20.2539,105.975,75.72,94,87,2.62,['overcast clouds']
La Ronge,CA,55.1001,-105.2842,50.0,34,54,14.97,['broken clouds']
Chokurdakh,RU,70.6333,147.9167,18.45,92,100,3.11,['overcast clouds']
Port-Gentil,GA,-0.7193,8.7815,80.6,89,20,5.75,['moderate rain']
Medicine Hat,CA,50.0501,-110.6683,55.4,62,90,13.8,['overcast clouds']
Straumen,NO,63.8709,11.2999,37.0,80,20,4.61,['few clouds']
Okhotsk,RU,59.3833,143.3,35.8,63,75,2.04,['broken clouds']
Hovd,MN,48.0056,91.6419,61.25,32,100,4.85,['overcast clouds']
Hermanus,ZA,-34.4187,19.2345,57.99,96,60,1.01,['broken clouds']
Derby,GB,52.9228,-1.4766,44.6,65,0,5.75,['clear sky']
Bethel,US,41.3712,-73.414,59.0,51,1,13.8,['clear sky']
Payo,ID,-3.7508,103.6372,71.98,98,99,1.74,['overcast clouds']
Mangrol,IN,21.1167,70.1167,81.82,80,3,10.45,['clear sky']
Cibeureum,ID,-7.3552,108.2693,72.27,98,91,0.45,['overcast clouds']
Hilo,US,19.7297,-155.09,82.4,57,75,13.8,['moderate rain']
Sao Joao Da Barra,BR,-21.6403,-41.0511,77.0,78,0,16.11,['clear sky']
Port Hedland,AU,-20.3167,118.5667,71.6,78,40,6.91,['scattered clouds']
Sundumbili,ZA,-29.1337,31.3975,64.4,82,0,2.3,['light rain']
Keskin,TR,39.6731,33.6136,56.5,49,76,5.21,['broken clouds']
Bengkulu,ID,-3.8004,102.2655,76.91,84,100,4.63,['overcast clouds']
Nikolskoye,RU,59.7035,30.7861,42.01,87,0,4.47,['clear sky']
Saint-Philippe,RE,-21.3585,55.7679,71.6,64,20,10.36,['few clouds']
Alta Floresta,BR,-9.8756,-56.0861,72.72,85,63,3.65,['broken clouds']
Tolaga Bay,NZ,-38.3667,178.3,60.75,68,100,6.31,['overcast clouds']
Longyearbyen,SJ,78.2186,15.6401,21.2,68,40,8.05,['scattered clouds']
Kapaa,US,22.0752,-159.319,78.8,73,90,14.97,['light rain']
Iskateley,RU,67.6803,53.1512,32.81,87,100,13.87,['overcast clouds']
Pisco,PE,-13.7,-76.2167,68.0,83,0,20.71,['clear sky']
Norman Wells,CA,65.282,-126.8329,46.4,49,40,16.11,['scattered clouds']
Laiyang,CN,36.9758,120.7136,58.66,42,0,13.76,['clear sky']
Qui Nhon,VN,13.7667,109.2333,76.24,85,100,5.1,['overcast clouds']
Tromso,NO,69.6496,18.957,33.8,75,75,4.61,['light snow']
Kabinda,CD,-6.1333,24.4833,68.07,92,100,1.25,['overcast clouds']
Bilma,NE,18.6853,12.9164,91.6,7,0,8.05,['clear sky']
Daru,PG,-9.0763,143.2092,80.46,81,57,13.2,['broken clouds']
Port Alfred,ZA,-33.5906,26.891,64.56,85,27,8.7,['scattered clouds']
Severo-Kurilsk,RU,50.6789,156.125,39.83,83,76,10.16,['broken clouds']
Imbituba,BR,-28.24,-48.6703,64.4,63,0,9.22,['clear sky']
Laguna,US,38.421,-121.4238,81.0,26,1,11.5,['clear sky']
Galesong,ID,-5.3166,119.3661,75.2,100,20,3.44,['light rain']
Roswell,US,34.0232,-84.3616,68.0,30,1,11.5,['clear sky']
Victoria,HK,22.2855,114.1577,79.0,86,90,5.66,['overcast clouds']
Poum,NC,-20.2333,164.0167,79.05,80,100,15.48,['overcast clouds']
Coquimbo,CL,-29.9533,-71.3436,62.6,67,0,6.91,['clear sky']
Mayo,US,38.8876,-76.5119,53.6,87,90,5.75,['moderate rain']
Sorland,NO,67.667,12.6934,38.95,64,29,10.29,['scattered clouds']
Machinga,MW,-15.1685,35.3,54.97,90,29,1.43,['scattered clouds']
Menomonie,US,44.8755,-91.9193,53.01,30,75,12.66,['broken clouds']
Cidreira,BR,-30.1811,-50.2056,59.68,74,3,8.08,['clear sky']
Lethem,GY,3.3803,-59.7968,83.5,67,95,5.39,['overcast clouds']
Channel-Port Aux Basques,CA,47.5702,-59.1367,39.25,95,100,3.24,['overcast clouds']
Raton,US,36.9034,-104.4391,75.2,17,1,28.77,['clear sky']
Makinsk,KZ,52.6292,70.4169,48.11,43,23,6.53,['few clouds']
Aykhal,RU,66.0,111.5,33.69,87,100,8.14,['overcast clouds']
Ondangwa,NA,-17.9167,15.95,73.67,46,17,5.86,['few clouds']
Gigmoto,PH,13.7796,124.39,80.42,87,100,6.08,['overcast clouds']
Nanortalik,GL,60.1432,-45.2371,35.87,86,96,7.72,['overcast clouds']
Tiquisate,GT,14.2833,-91.3667,82.4,78,40,6.91,['scattered clouds']
Xingyi,CN,24.1877,102.817,55.99,85,6,2.71,['clear sky']
Ponta Do Sol,PT,32.6667,-17.1,59.0,61,63,3.0,['broken clouds']
Kodiak,US,57.79,-152.4072,41.0,81,90,18.41,['light rain']
Luanda,AO,-8.8368,13.2343,78.8,94,40,3.44,['light rain']
Deputatskiy,RU,69.3,139.9,24.75,94,100,3.2,['light snow']
Killybegs,IE,54.6333,-8.45,50.0,43,0,9.22,['clear sky']
Barrow,US,71.2906,-156.7887,15.8,79,90,10.36,['light snow']
Asfi,MA,32.2994,-9.2372,65.93,78,0,13.44,['clear sky']
Qaanaaq,GL,77.484,-69.3632,27.16,91,100,10.58,['overcast clouds']
Belmonte,BR,-15.8631,-38.8828,78.8,78,20,5.75,['few clouds']
Klaksvik,FO,62.2266,-6.589,35.6,69,20,11.5,['few clouds']
Bam,IR,29.106,58.357,76.82,31,93,6.38,['overcast clouds']
Ust-Koksa,RU,50.2696,85.6108,49.19,88,100,1.54,['overcast clouds']
Yulara,AU,-25.2406,130.9889,60.8,100,75,3.44,['broken clouds']
Ambilobe,MG,-13.2,49.05,73.31,94,82,3.33,['broken clouds']
Hobart,AU,-42.8794,147.3294,55.99,82,20,8.05,['few clouds']
Alexandria,EG,31.2156,29.9553,71.6,83,0,6.91,['clear sky']
Nara,JP,34.6851,135.8049,61.0,100,75,2.3,['broken clouds']
Koungou,YT,-12.7336,45.2042,80.6,74,0,14.97,['clear sky']
Prince Albert,CA,53.2001,-105.7677,57.2,21,75,16.11,['broken clouds']
Dandeli,IN,15.2667,74.6167,76.66,77,94,0.67,['overcast clouds']
Arraial Do Cabo,BR,-22.9661,-42.0278,73.4,78,75,10.36,['broken clouds']
Hakodate,JP,41.7758,140.7367,53.6,94,75,17.27,['broken clouds']
Cabedelo,BR,-6.9811,-34.8339,77.0,88,20,3.44,['few clouds']
Souillac,MU,-20.5167,57.5167,73.4,83,40,5.75,['light rain']
Vao,NC,-22.6667,167.4833,76.24,85,100,22.06,['overcast clouds']
Alvaraes,BR,-3.2208,-64.8042,80.6,83,20,4.61,['few clouds']
Sartell,US,45.6216,-94.2069,55.99,28,20,11.5,['few clouds']
Cabo San Lucas,MX,22.8909,-109.9124,86.0,34,1,3.44,['clear sky']
Caieiras,BR,-23.3642,-46.7406,62.6,94,90,4.61,['overcast clouds']
Namibe,AO,-15.1961,12.1522,74.03,73,19,4.83,['few clouds']
Sitka,US,57.0531,-135.33,53.6,58,40,10.36,['scattered clouds']
Upernavik,GL,72.7868,-56.1549,30.0,74,100,5.08,['overcast clouds']
Washougal,US,45.5826,-122.3534,61.0,54,75,3.44,['broken clouds']
Potosi,BO,-19.5836,-65.7531,47.43,62,60,6.98,['broken clouds']
Kiama,AU,-34.6833,150.8667,64.99,96,7,4.05,['clear sky']
Saint-Joseph,RE,-21.3667,55.6167,71.6,64,20,10.36,['few clouds']
Manaure,CO,11.7751,-72.4445,86.7,56,92,15.41,['overcast clouds']
Ixtapa,MX,20.7,-105.2,80.6,74,20,13.8,['few clouds']
San Pedro,PH,14.35,121.0167,82.0,78,20,6.22,['few clouds']
El Alto,PE,-4.2714,-81.2147,70.83,72,16,20.45,['few clouds']
Orebro,SE,59.2741,15.2066,37.4,75,20,6.91,['few clouds']
Adre,TD,13.4667,22.2,79.09,45,70,3.29,['broken clouds']
Ancud,CL,-41.8697,-73.8203,51.01,87,20,6.91,['few clouds']
New Norfolk,AU,-42.7826,147.0587,55.99,76,72,3.0,['broken clouds']
Fornosovo,RU,59.5689,30.5544,42.01,87,0,4.47,['light rain']
Fortuna,US,40.5982,-124.1573,59.0,58,40,26.46,['scattered clouds']
Meulaboh,ID,4.1363,96.1285,76.84,91,92,4.18,['overcast clouds']
Pahrump,US,36.2083,-115.9839,89.01,13,0,8.99,['clear sky']
Altay,CN,47.8667,88.1167,57.94,61,81,3.27,['broken clouds']
Gunnedah,AU,-30.9833,150.25,61.0,98,100,1.97,['overcast clouds']
Dalbandin,PK,28.8947,64.4101,80.46,23,100,1.72,['overcast clouds']
Tuktoyaktuk,CA,69.4541,-133.0374,23.0,86,90,21.85,['overcast clouds']
Marabba,SD,12.35,32.1833,83.93,50,100,10.22,['overcast clouds']
